ScheduleTime,Airline,FlightNumber,Destination,AircraftType,FlightType,Sector,SeatCapacity,LoadFactor
2022-03-01 15:35:00,DO,668,YYZ,32N,J,CA,180,0.3332594489476937
2022-03-01 14:25:00,CL,2961,YQU,73H,J,CA,189,0.5213230666376613
2022-03-01 14:55:00,DO,974,YYJ,32N,J,CA,180,0.23095067265317748
2022-03-01 14:30:00,CL,3779,YWG,73H,J,CA,189,0.5241441878903453
2022-03-01 14:45:00,DO,986,YXC,319,J,CA,150,0.23615042475906156
2022-03-01 15:50:00,DO,814,ORD,333,J,US,262,0.1288880308254319
2022-03-01 16:25:00,CN,555,CKE,AT7,J,US,72,0.5039293877801403
2022-03-01 16:05:00,IR,1124,YFI,32A,J,CA,180,0.5371076389872023
2022-03-01 17:20:00,SV,1530,CKE,73H,J,US,186,0.45324071419890005
2022-03-01 16:25:00,DO,709,ZSW,CR9,J,CA,90,0.2855367398281256
2022-03-01 16:40:00,LJ,884,SCM,32A,J,US,186,0.527483684499182
2022-03-01 16:35:00,DO,989,YXC,32N,J,CA,180,0.2141194449369672
2022-03-01 17:30:00,IR,1138,YXU,320,J,CA,180,0.6173061162402763
2022-03-01 17:15:00,DO,969,YYJ,32N,J,CA,180,0.2313772065991978
2022-03-01 17:20:00,CN,516,EST,AT7,J,US,70,0.5236718541264135
2022-03-01 17:05:00,DO,2915,AMN,32N,C,US,180,0.4803970759249306
2022-03-01 17:40:00,SV,1530,CKE,73H,J,US,186,0.45324071419890005
2022-03-01 18:30:00,DO,717,YLL,AT7,J,CA,70,0.266628844635587
2022-03-01 18:20:00,SV,1672,YEG,73H,J,CA,186,0.5186614536524013
2022-03-01 18:15:00,NU,536,UTM,AT7,J,US,48,0.497550125449364
2022-03-01 17:20:00,NV,1253,YCD,319,J,CA,180,0.5326761202033429
2022-03-01 17:55:00,DO,1045,YVR,CR9,J,CA,90,0.30689767277975755
2022-03-01 18:40:00,DO,654,YXC,32N,J,CA,180,0.20847391264875245
2022-03-01 19:00:00,DO,699,YCD,CR9,J,CA,90,0.2846732937280023
2022-03-01 18:05:00,DO,832,PVG,333,J,CN,262,0.1303033425530213
2022-03-01 18:55:00,SV,1531,CKE,73H,J,US,186,0.45276157778865733
2022-03-01 19:10:00,CL,1849,YXU,73H,J,CA,189,0.6096798655841039
2022-03-01 18:45:00,JZ,820,YHM,32B,J,CA,209,0.5277772939412406
2022-03-01 19:00:00,ML,654,YKF,E90,J,CA,106,0.5545088265491566
2022-03-01 20:25:00,KU,924,YZF,223,J,CA,145,0.535885649202481
2022-03-01 20:45:00,NH,602,MSP,E95,J,US,120,0.5438139136100891
2022-03-01 20:45:00,CL,702,DFW,73H,J,US,189,0.5250988113980489
2022-03-01 20:25:00,NI,2312,CLR,DH4,J,US,76,0.5170699002213325
2022-03-01 20:10:00,CL,1431,YBR,73H,J,CA,189,0.5234516158541065
2022-03-01 20:25:00,LJ,3256,YEG,32A,J,CA,186,0.5362208025544924
2022-03-01 21:25:00,DO,907,CKE,320,J,US,168,0.25800893935878655
2022-03-01 20:20:00,DO,923,KWT,AT7,J,US,70,0.2203129966353526
2022-03-01 20:25:00,DO,747,YJO,CR9,J,CA,90,0.2557420440903693
2022-03-01 22:05:00,LJ,1162,YWG,32A,J,CA,186,0.5172385600680348
2022-03-01 21:05:00,CN,518,EST,AT7,J,US,70,0.5205380745919242
2022-03-01 22:40:00,CL,2961,YQU,7M8,J,CA,197,0.5255897910043362
2022-03-01 22:40:00,DO,751,HFD,CR9,J,US,90,0.16970050964786787
2022-03-02 06:25:00,UK,1315,YXX,319,J,CA,131,0.5581008191610197
2022-03-02 05:45:00,DO,2567,YXU,32N,J,CA,180,0.5818413063164533
2022-03-02 05:50:00,UK,777,YVR,32A,J,CA,172,0.5582017104394937
2022-03-02 07:30:00,DO,901,CKE,CR9,J,US,90,0.2796775018592329
2022-03-02 06:20:00,ML,653,YKF,E75,J,CA,82,0.521489313218632
2022-03-02 06:25:00,DO,651,YXC,32N,J,CA,180,0.23437444158866397
2022-03-02 07:10:00,SV,1527,CKE,73H,J,US,186,0.4562181828416349
2022-03-02 06:45:00,CN,510,EST,AT4,J,US,46,0.5444528582174993
2022-03-02 06:55:00,DO,667,YYZ,32N,J,CA,180,0.35695346835272723
2022-03-02 08:20:00,DO,972,YYJ,32N,J,CA,180,0.2265019332382952
2022-03-02 07:10:00,DO,1043,ZSW,CR9,J,CA,90,0.28322562247208494
2022-03-02 08:35:00,DO,1123,OFF,CR9,J,US,90,0.2685522002655489
2022-03-02 07:45:00,DO,1454,AUM,CR9,J,US,90,0.26945110269158024
2022-03-02 08:00:00,CL,2781,HFD,73H,J,US,189,0.519340625213395
2022-03-02 08:15:00,NU,534,UTM,AT7,J,US,48,0.4720142641237328
2022-03-02 08:40:00,CN,511,EST,AT7,J,US,70,0.4981743111968107
2022-03-02 08:45:00,DO,914,KWT,AT7,J,US,70,0.2304820532765037
2022-03-02 08:50:00,CN,551,CKE,AT7,J,US,72,0.49091647078410605
2022-03-02 08:30:00,DO,688,YLW,32N,J,CA,180,0.34008535371765336
2022-03-02 08:25:00,DO,679,YWG,CR9,J,CA,90,0.2820816830169702
2022-03-02 09:40:00,LJ,2394,YKA,320,J,CA,186,0.5132686529214254
2022-03-02 08:25:00,TN,554,DOH,789,J,QA,311,0.4100813216809524
2022-03-02 09:30:00,DO,902,CKE,32N,J,US,180,0.30348514638516944
2022-03-02 09:25:00,LJ,3140,DEN,320,J,US,186,0.5309030146991737
2022-03-02 09:30:00,LJ,1774,YLW,320,J,CA,186,0.5236373064084876
2022-03-02 09:55:00,KU,922,YZF,223,J,CA,145,0.5401438440131228
2022-03-02 10:15:00,NH,600,MSP,E95,J,US,120,0.5469772546205826
2022-03-02 10:00:00,CL,635,BWI,73H,J,US,189,0.5292968955133922
2022-03-02 10:40:00,DO,1445,RNH,32N,J,US,180,0.331333569431638
2022-03-02 10:40:00,ML,654,YKF,E75,J,CA,82,0.5229345215719466
2022-03-02 11:15:00,PU,857,ASE,738,J,US,189,0.5322389670086719
2022-03-02 10:45:00,CN,552,CKE,AT7,J,US,72,0.5117359391520702
2022-03-02 12:10:00,CL,3040,FTL,73H,J,US,189,0.5294664519739447
2022-03-02 11:20:00,DO,986,YXC,32N,J,CA,180,0.2137349780189135
2022-03-02 12:45:00,DO,727,BWI,32N,J,US,180,0.33046629073964334
2022-03-02 12:25:00,DO,764,AIY,32N,J,US,180,0.33046629073964334
2022-03-02 13:10:00,IA,876,DEN,73H,J,US,186,0.5483597695242541
2022-03-02 12:25:00,DO,985,YXC,CR9,J,CA,90,0.2444951981304854
2022-03-02 12:20:00,LJ,988,YQQ,320,J,CA,186,0.5189870821458044
2022-03-02 12:15:00,JZ,822,YHM,32B,J,CA,209,0.530668401947483
2022-03-02 13:05:00,DO,1080,YJO,CR9,J,CA,90,0.282530292584315
2022-03-02 13:40:00,VW,771,YYZ,32Q,J,CA,220,0.5464881845729612
2022-03-02 12:25:00,MC,753,YXH,32Q,J,CA,216,0.53266290222408
2022-03-02 12:55:00,DO,1070,YHM,CR9,J,CA,90,0.282530292584315
2022-03-02 12:40:00,UK,1313,YXX,319,J,CA,131,0.544133486472198
2022-03-02 14:05:00,DO,753,HFD,CR9,J,US,90,0.2686390502688907
2022-03-02 14:40:00,DO,1456,AUM,32N,J,US,180,0.33046629073964334
2022-03-02 13:40:00,DO,1124,OFF,CR9,J,US,90,0.2685102500152228
2022-03-02 14:05:00,IA,876,DEN,E75,J,US,88,0.5552285030327342
2022-03-02 14:30:00,UK,776,YVR,32A,J,CA,172,0.5351776642782704
2022-03-02 14:40:00,CN,526,ONL,AT4,J,US,46,0.5554744925883601
2022-03-02 15:15:00,SV,1528,CKE,73H,J,US,186,0.46198701498963535
2022-03-02 14:30:00,DO,974,YYJ,32N,J,CA,180,0.23189827665170584
2022-03-02 15:35:00,DO,1016,DEN,CR9,J,US,90,0.2809211931310452
2022-03-02 16:15:00,TN,553,DOH,788,J,QA,254,0.40595787552453316
2022-03-02 16:05:00,DO,814,ORD,333,J,US,262,0.1280514046462899
2022-03-02 15:55:00,CL,1391,YYF,73H,J,CA,189,0.5275410196162309
2022-03-02 16:45:00,BJ,1903,YHZ,319,J,CA,150,0.5359208051627179
2022-03-02 16:30:00,DO,1385,YXX,32N,J,CA,180,0.3321681884142129
2022-03-02 16:05:00,SV,1530,CKE,73H,J,US,186,0.462041532534099
2022-03-02 17:35:00,DO,709,ZSW,CR9,J,CA,90,0.2865625994013079
2022-03-02 16:45:00,DO,905,CKE,320,J,US,168,0.3094545191817445
2022-03-02 17:10:00,DO,989,YXC,32N,J,CA,180,0.2146866589063243
2022-03-02 17:50:00,DO,919,KWT,AT7,J,US,70,0.25103147570839557
2022-03-02 17:50:00,DO,686,YLW,CR9,J,CA,90,0.31236840347904893
2022-03-02 17:15:00,CN,516,EST,AT7,J,US,70,0.5359827480329374
2022-03-02 18:15:00,IA,877,DEN,73H,J,US,186,0.5483989465234014
2022-03-02 17:55:00,SV,1530,CKE,73H,J,US,186,0.46185775792624195
2022-03-02 17:20:00,CN,527,ONL,AT4,J,US,46,0.562682796290179
2022-03-02 17:00:00,GQ,1095,CYT,7M8,J,US,151,0.5382297236616298
2022-03-02 18:40:00,VW,773,YYZ,320,J,CA,180,0.5581728112990704
2022-03-02 17:20:00,NU,536,UTM,AT7,J,US,48,0.50341610161784
2022-03-02 17:25:00,LJ,1162,YWG,320,J,CA,186,0.517540573541387
2022-03-02 18:30:00,DO,1045,YVR,CR9,J,CA,90,0.30770682316325826
2022-03-02 17:45:00,DO,699,YCD,CR9,J,CA,90,0.2865625994013079
2022-03-02 18:25:00,CL,636,ASL,73H,J,US,189,0.5293558966523859
2022-03-02 19:40:00,SV,1531,CKE,73H,J,US,186,0.4532310012558515
2022-03-02 19:30:00,DO,976,YYJ,32N,J,CA,180,0.2291009153939396
2022-03-02 19:10:00,LJ,1385,LAS,320,J,US,186,0.5224233850198623
2022-03-02 19:35:00,DO,906,CKE,AT7,J,US,70,0.29751514974145526
2022-03-02 19:35:00,KU,924,YZF,320,J,CA,180,0.5366204866387562
2022-03-02 20:20:00,SV,1532,CKE,73H,J,US,186,0.44958076778021816
2022-03-02 20:50:00,NH,602,MSP,E95,J,US,120,0.5463208911591219
2022-03-02 20:25:00,BJ,3582,ZSW,32A,J,CA,180,0.5361483332243745
2022-03-02 19:55:00,NI,2312,CLR,DH4,J,US,76,0.5200842496878538
2022-03-02 19:45:00,LJ,1776,YLW,320,J,CA,186,0.5215912441620504
2022-03-02 21:05:00,LJ,3256,YEG,319,J,CA,156,0.5468150419217058
2022-03-02 21:00:00,DO,907,CKE,32N,J,US,180,0.2497309646645032
2022-03-02 20:20:00,DO,1125,OFF,CR9,J,US,90,0.25014143780727316
2022-03-02 21:20:00,DO,923,KWT,AT7,J,US,70,0.2183968333445673
2022-03-02 21:05:00,CL,3779,YWG,73H,J,CA,189,0.5270825444578958
2022-03-02 21:55:00,CL,711,YQR,73H,J,CA,189,0.5270825444578958
2022-03-02 22:35:00,DO,1414,DAB,CR9,J,US,90,0.17134330186168475
2022-03-02 23:25:00,DO,976,YYJ,32N,J,CA,180,0.1376245209082894
2022-03-03 06:15:00,MC,751,YXH,32N,J,CA,174,0.5413779834780438
2022-03-03 05:35:00,SV,1723,YXU,73H,J,CA,186,0.6451807423513927
2022-03-03 06:30:00,PW,950,YLW,319,J,CA,143,0.6011248401687931
2022-03-03 06:25:00,UK,777,YVR,32A,J,CA,172,0.5640469608108707
2022-03-03 07:10:00,DO,2567,YXU,32N,J,CA,180,0.5370627399834037
2022-03-03 07:00:00,SV,1564,YYJ,73H,J,CA,186,0.37169992996783957
2022-03-03 07:25:00,DO,651,YXC,CR9,J,CA,90,0.24106338778522537
2022-03-03 06:40:00,CN,510,EST,AT4,J,US,46,0.5495599216315862
2022-03-03 08:30:00,DO,700,YZF,32N,J,CA,180,0.3523109099046473
2022-03-03 07:45:00,CL,3040,FTL,73H,J,US,189,0.5229021278516487
2022-03-03 07:30:00,DO,1047,YLL,AT7,J,CA,70,0.26561990977380195
2022-03-03 08:25:00,DO,987,YXC,319,J,CA,150,0.23454100498774808
2022-03-03 07:40:00,DO,1123,OFF,CR9,J,US,90,0.27181197307791766
2022-03-03 08:05:00,NU,534,UTM,AT7,J,US,48,0.48229390908968756
2022-03-03 08:30:00,DO,704,YQQ,CR9,J,CA,90,0.2841486241540889
2022-03-03 08:35:00,CN,511,EST,AT7,J,US,70,0.508412216815846
2022-03-03 07:50:00,DO,1061,LAS,32N,J,US,180,0.33416307851135724
2022-03-03 07:50:00,PO,619,RNH,73H,C,US,189,0.5024370038963303
2022-03-03 08:35:00,CN,551,CKE,AT7,J,US,72,0.5099688079434782
2022-03-03 09:25:00,JZ,817,YHM,E90,J,CA,100,0.5561087810008774
2022-03-03 08:05:00,BJ,3581,ZSW,32A,J,CA,180,0.5353028896695459
2022-03-03 09:10:00,ZY,811,YXC,73H,J,CA,186,0.31251458428072976
2022-03-03 08:50:00,DO,644,YXE,CR9,J,CA,90,0.2841486241540889
2022-03-03 10:05:00,DO,817,HDI,359,J,US,300,0.12824747631028371
2022-03-03 09:15:00,PW,1083,YLW,223,J,CA,148,0.5950992916285305
2022-03-03 10:45:00,IA,875,DEN,73H,J,US,186,0.554689179943626
2022-03-03 10:05:00,CL,635,BWI,73H,J,US,189,0.5350313763320569
2022-03-03 09:45:00,LJ,3254,YEG,320,J,CA,186,0.5355254343513297
2022-03-03 10:45:00,LW,672,ARB,32Q,C,US,221,0.5086915517656687
2022-03-03 10:10:00,PU,857,ASE,738,J,US,189,0.5374085235224142
2022-03-03 10:50:00,ZY,2290,PHX,73H,J,US,186,0.5418384467988157
2022-03-03 12:05:00,DO,1057,YKA,CR9,J,CA,90,0.29996096968792535
2022-03-03 10:50:00,CN,552,CKE,AT7,J,US,72,0.533120798721311
2022-03-03 12:25:00,DO,973,YYJ,32N,J,CA,180,0.2314803531178414
2022-03-03 12:00:00,ZP,800,KEF,32Q,J,IS,192,0.5392066127450963
2022-03-03 12:35:00,OK,750,YOW,320,J,CA,174,0.5410591594212767
2022-03-03 11:35:00,DO,1257,IJX,32N,J,US,180,0.33388638714801755
2022-03-03 13:10:00,IA,876,DEN,73H,J,US,186,0.5538212696772059
2022-03-03 11:55:00,SH,617,SIN,359,J,SG,253,0.19365802525851739
2022-03-03 12:45:00,DO,810,BOW,333,J,US,262,0.13017864821025682
2022-03-03 12:50:00,LJ,988,YQQ,320,J,CA,186,0.5225085876999952
2022-03-03 12:05:00,JZ,822,YHM,32B,J,CA,209,0.5351677553865434
2022-03-03 13:30:00,DO,1095,PTL,CR9,J,US,90,0.27089879394045907
2022-03-03 13:20:00,DO,1415,DAB,CR9,J,US,90,0.27089879394045907
2022-03-03 12:15:00,AY,651,YYG,320,J,CA,174,0.5410591594212767
2022-03-03 12:55:00,ZT,568,KEF,75W,J,IS,183,0.5421230118814909
2022-03-03 14:05:00,UK,1313,YXX,319,J,CA,131,0.5488603817406291
2022-03-03 13:50:00,DO,753,HFD,CR9,J,US,90,0.27089879394045907
2022-03-03 13:10:00,GQ,3125,ASE,73H,J,US,189,0.5357402208227728
2022-03-03 14:50:00,DO,1040,ZSW,CR9,J,CA,90,0.2848584203339642
2022-03-03 14:35:00,IA,876,DEN,E90,J,US,100,0.5870847023291061
2022-03-03 14:05:00,FP,550,DXB,77W,J,AE,428,0.4068223236943276
2022-03-03 15:05:00,CL,2961,YQU,7M8,J,CA,197,0.532864334113258
2022-03-03 13:55:00,RS,839,YXC,73H,J,CA,189,0.3184565599517613
2022-03-03 15:25:00,CN,526,ONL,AT4,J,US,46,0.5697715580479477
2022-03-03 15:20:00,KU,923,YZF,223,J,CA,145,0.5451551994523358
2022-03-03 15:45:00,DO,974,YYJ,32N,J,CA,180,0.23117962239980147
2022-03-03 14:55:00,NU,535,UTM,AT7,J,US,48,0.5104202855811246
2022-03-03 14:40:00,DO,986,YXC,320,J,CA,168,0.22499707769022012
2022-03-03 16:20:00,TN,553,DOH,788,J,QA,254,0.4070512205513405
2022-03-03 16:25:00,DO,1385,YXX,320,J,CA,168,0.3346799521635964
2022-03-03 15:25:00,CN,515,EST,AT4,J,US,46,0.5810348328182646
2022-03-03 17:15:00,DO,1417,YKF,CR9,J,CA,90,0.28956985879186536
2022-03-03 16:20:00,DO,709,ZSW,CR9,J,CA,90,0.2885564782455417
2022-03-03 16:35:00,DO,680,YWG,32N,J,CA,180,0.3350053583139512
2022-03-03 16:40:00,DO,989,YXC,32N,J,CA,180,0.2141988730815382
2022-03-03 16:45:00,DO,919,KWT,AT7,J,US,70,0.2566760204646277
2022-03-03 16:40:00,SV,1528,CKE,73H,J,US,186,0.48831147126455915
2022-03-03 16:45:00,DO,969,YYJ,32N,J,CA,180,0.23158429914097878
2022-03-03 17:40:00,CN,516,EST,AT7,J,US,72,0.5501750626400715
2022-03-03 17:35:00,DO,705,YQQ,32N,J,CA,180,0.3351340315129253
2022-03-03 18:10:00,DO,717,YLL,AT7,J,CA,70,0.27694232324133494
2022-03-03 17:30:00,GQ,1095,CYT,32Q,J,US,190,0.5396618427780678
2022-03-03 17:25:00,MD,1538,MJQ,321,J,US,230,0.5380800840186755
2022-03-03 18:15:00,DO,703,YZF,CR9,J,CA,90,0.357637617653635
2022-03-03 18:15:00,CL,701,YBR,73H,J,CA,189,0.5330045347764084
2022-03-03 18:35:00,DO,1045,YVR,CR9,J,CA,90,0.3091746031500104
2022-03-03 18:45:00,UK,1314,YXX,319,J,CA,131,0.5489411809614582
2022-03-03 18:30:00,DO,699,YCD,CR9,J,CA,90,0.2887423675289755
2022-03-03 18:30:00,CN,556,CKE,AT7,J,US,72,0.5438237752500493
2022-03-03 19:10:00,SV,1531,CKE,73H,J,US,186,0.4840173849065998
2022-03-03 19:20:00,JZ,820,YHM,320,J,CA,174,0.5402233393641322
2022-03-03 18:40:00,DO,990,YXC,319,J,CA,150,0.23079859644288808
2022-03-03 19:25:00,ML,654,YKF,E90,J,CA,106,0.5607884345391139
2022-03-03 20:20:00,EM,546,GBR,223,J,US,145,0.543033931410459
2022-03-03 19:25:00,NH,602,MSP,320,J,US,174,0.542657863721918
2022-03-03 20:50:00,LJ,3154,DEN,319,J,US,156,0.538573881674855
2022-03-03 20:00:00,BJ,1903,YHZ,32A,J,CA,180,0.5411104754016512
2022-03-03 20:55:00,LJ,1776,YLW,320,J,CA,186,0.5200974781217874
2022-03-03 20:55:00,DO,1460,YKK,CR9,J,CA,90,0.2593593449648075
2022-03-03 21:10:00,DO,709,ZSW,CR9,J,CA,90,0.24876099231708615
2022-03-03 21:20:00,DO,648,YXE,32N,J,CA,180,0.2772775256943823
2022-03-03 20:55:00,DO,1125,OFF,CR9,J,US,88,0.2551521317114895
2022-03-03 20:50:00,DO,747,YJO,CR9,J,CA,90,0.2593593449648075
2022-03-03 22:00:00,LJ,2396,YKA,320,J,CA,180,0.5141795143765621
2022-03-03 21:55:00,CN,518,EST,AT7,J,US,72,0.5476369710676163
2022-03-03 22:45:00,CL,711,YQR,7M8,J,CA,197,0.5365111467358588
2022-03-03 22:15:00,CL,1391,YYF,73H,J,CA,189,0.5336129274391952
2022-03-03 22:10:00,DO,991,YXC,32N,J,CA,180,0.12421442342408807
2022-03-03 23:05:00,DO,1414,DAB,CR9,J,US,90,0.1736272806417626
2022-03-04 05:25:00,IA,874,DEN,73J,J,US,188,0.5735171791454505
2022-03-04 06:40:00,PW,950,YLW,319,J,CA,143,0.6003212837054792
2022-03-04 05:55:00,SV,1743,BWI,73H,J,US,186,0.5480097184751194
2022-03-04 06:55:00,DO,901,CKE,CR9,J,US,90,0.3221648868619918
2022-03-04 07:15:00,ML,653,YKF,E75,J,CA,82,0.5286794890104741
2022-03-04 06:35:00,NV,1256,YCD,320,J,CA,180,0.5572901059835694
2022-03-04 07:35:00,SV,1564,YYJ,73H,J,CA,186,0.4002604149473826
2022-03-04 07:00:00,SV,1527,CKE,73H,J,US,186,0.5315948015736154
2022-03-04 08:30:00,SV,1573,YXC,73H,J,CA,186,0.3307960150646223
2022-03-04 07:40:00,CL,2961,YQU,73H,J,CA,189,0.5322861793264084
2022-03-04 07:50:00,DO,972,YYJ,32N,J,CA,180,0.2300697790197504
2022-03-04 07:45:00,DO,1047,YLL,AT7,J,CA,70,0.27947831880146473
2022-03-04 08:00:00,DO,750,YKF,CR9,J,CA,90,0.29038761997188395
2022-03-04 07:35:00,DO,1123,OFF,CR9,J,US,90,0.27927997382833436
2022-03-04 08:35:00,NU,534,UTM,AT7,J,US,48,0.49896886392298756
2022-03-04 07:50:00,DO,697,YCD,CR9,J,CA,90,0.2901681616455079
2022-03-04 08:05:00,SH,617,BWI,359,J,US,253,0.1932178250218301
2022-03-04 07:50:00,CN,524,ONL,AT4,J,US,46,0.5484625817723465
2022-03-04 08:30:00,DO,1061,LAS,320,J,US,168,0.3376252566685431
2022-03-04 08:35:00,DO,698,KEF,32N,J,IS,180,0.33959448730585945
2022-03-04 08:20:00,PO,572,RNH,73H,C,US,189,0.5317503505746416
2022-03-04 09:30:00,DO,759,YOW,32N,J,CA,180,0.3391208357907298
2022-03-04 08:00:00,EM,544,GBR,223,J,US,145,0.5472097992583942
2022-03-04 09:15:00,CL,1431,YBR,7M8,J,CA,197,0.5474855511255217
2022-03-04 08:50:00,TN,554,DOH,788,J,QA,254,0.3952424714274558
2022-03-04 08:45:00,DO,972,YYJ,32N,J,CA,180,0.2293802474525955
2022-03-04 09:40:00,IK,868,BKL,32B,C,US,212,0.5431642738986157
2022-03-04 09:00:00,LJ,1774,YLW,320,J,CA,186,0.5251592119566207
2022-03-04 10:10:00,KU,922,YZF,223,J,CA,145,0.5563458063225996
2022-03-04 08:55:00,CL,635,BWI,73H,J,US,189,0.5382935655171353
2022-03-04 09:20:00,NH,600,MSP,320,J,US,174,0.5549447975133407
2022-03-04 09:20:00,UK,775,YVR,CR9,J,CA,84,0.4778711006736711
2022-03-04 10:35:00,CL,2413,YWP,73H,J,CA,189,0.5456384184330698
2022-03-04 11:30:00,SV,1600,YKA,73H,J,CA,186,0.5370874750054455
2022-03-04 11:10:00,CL,1840,PHX,73H,J,US,189,0.5520438081145806
2022-03-04 11:55:00,DO,679,YQR,32N,J,CA,180,0.33883287784089294
2022-03-04 11:20:00,BT,660,NPA,DH4,J,US,76,0.5407092406829382
2022-03-04 11:55:00,CN,552,CKE,AT7,J,US,72,0.5710983698798483
2022-03-04 11:50:00,DO,764,AIY,32N,J,US,180,0.3399481233213495
2022-03-04 12:35:00,DO,986,YXC,32N,J,CA,180,0.21666425138347967
2022-03-04 11:50:00,DO,1078,DAN,CR9,J,US,90,0.2789966757918189
2022-03-04 11:45:00,CL,3040,FTL,73H,J,US,189,0.5488318710085774
2022-03-04 12:10:00,DO,803,EWR,333,J,US,266,0.12030660442744094
2022-03-04 13:00:00,SH,617,SIN,359,J,SG,253,0.18791633851830897
2022-03-04 12:35:00,JZ,822,YHM,32B,J,CA,209,0.546045488127874
2022-03-04 12:25:00,DO,1080,YJO,CR9,J,CA,90,0.289817754127144
2022-03-04 12:30:00,DO,1460,YKK,CR9,J,CA,90,0.289817754127144
2022-03-04 13:05:00,SV,1730,RNH,73H,J,US,186,0.5435213946191456
2022-03-04 12:45:00,MC,753,YXH,32N,J,CA,174,0.5480111783440407
2022-03-04 13:40:00,SV,1683,YBR,73H,J,CA,186,0.5401462725880524
2022-03-04 12:45:00,UK,1313,YXX,320,J,CA,159,0.5514375555178945
2022-03-04 12:55:00,CL,3240,YHZ,73H,J,CA,189,0.5458079748936223
2022-03-04 13:10:00,GM,817,AHT,359,J,US,321,0.22341632916671095
2022-03-04 14:50:00,DO,1456,AUM,320,J,US,168,0.33783045629702735
2022-03-04 13:20:00,DO,1124,OFF,CR9,J,US,90,0.27885906992968007
2022-03-04 15:00:00,CN,514,EST,AT7,J,US,72,0.5644974966853429
2022-03-04 15:00:00,SV,1529,CKE,73H,J,US,186,0.5441623618214441
